species_common_name,species_scientific_name,observation_date,month,state,latitude,longitude,observation_count,plant_common_name,plant_scientific_name,optimal_planting_months,growth_duration_weeks,flowering_period,sunlight_requirement,water_requirement,suitable_regions
Eastern Rosella,Platycercus eximius,2022-03-17,March,QLD,-37.745799,143.172013,7,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-02-11,February,SA,-37.748189,144.410945,13,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-05-26,May,VIC,-38.521914,145.845723,5,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-12-07,December,QLD,-35.320989,145.050942,2,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-04-04,April,NSW,-39.537927,145.867442,7,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-05-26,May,WA,-36.925922,145.020575,13,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Superb Fairywren,Malurus cyaneus,2022-12-12,December,SA,-35.47733,145.992888,5,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Australian Magpie,Gymnorhina tibicen,2022-03-08,March,VIC,-38.328232,143.640199,14,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-06-01,June,QLD,-38.070188,144.696465,7,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-07-30,July,VIC,-37.047849,143.413367,5,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Australian Magpie,Gymnorhina tibicen,2022-11-15,November,VIC,-35.432803,144.803177,18,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-08-25,August,NSW,-36.553199,144.058858,12,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-01-09,January,WA,-36.85318,143.730728,19,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-11-25,November,QLD,-37.242444,144.730497,10,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-05-22,May,QLD,-38.2488,145.675802,3,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Superb Fairywren,Malurus cyaneus,2022-11-18,November,VIC,-37.732121,145.191974,14,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Australian Magpie,Gymnorhina tibicen,2022-05-03,May,NSW,-35.851687,144.75152,17,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Eastern Rosella,Platycercus eximius,2022-12-20,December,SA,-35.760053,143.763322,19,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-07-25,July,SA,-36.554302,145.797651,5,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Sulphur-crested Cockatoo,Cacatua galerita,2022-03-25,March,VIC,-35.706775,145.235277,13,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-10-19,October,SA,-34.39659,145.895366,19,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Sulphur-crested Cockatoo,Cacatua galerita,2022-04-23,April,QLD,-36.791871,144.40151,20,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-07-22,July,SA,-37.402684,145.844308,7,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Superb Fairywren,Malurus cyaneus,2022-04-12,April,SA,-38.891063,145.315604,8,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-05-14,May,SA,-36.342196,146.718609,3,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-04-29,April,VIC,-37.267868,144.763703,8,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Superb Fairywren,Malurus cyaneus,2022-11-01,November,SA,-37.425522,143.541845,5,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-01-10,January,SA,-36.891066,144.999784,19,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-01-20,January,SA,-39.048697,145.294104,12,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-08-20,August,NSW,-37.324274,145.361596,4,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-12-01,December,NSW,-36.345266,144.464904,1,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-04-24,April,NSW,-35.104516,145.127134,16,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-12-11,December,WA,-36.991358,144.292471,5,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Rainbow Lorikeet,Trichoglossus moluccanus,2022-01-17,January,WA,-36.850119,145.182155,5,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-01-13,January,WA,-35.714152,144.382228,12,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-08-06,August,WA,-36.467498,144.771184,18,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Superb Fairywren,Malurus cyaneus,2022-07-12,July,QLD,-37.273531,145.113981,5,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-05-08,May,VIC,-38.572582,145.322321,2,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-08-28,August,NSW,-33.729153,146.504355,11,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-07-03,July,SA,-37.28553,144.6778,6,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-01-08,January,QLD,-35.523082,143.88305,3,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-07-02,July,SA,-36.216172,145.290092,2,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Australian Magpie,Gymnorhina tibicen,2022-03-26,March,VIC,-35.632674,144.416406,14,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-04-28,April,WA,-38.622212,143.502849,14,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-10-21,October,VIC,-34.894881,145.484301,16,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Superb Fairywren,Malurus cyaneus,2022-04-10,April,NSW,-35.261813,144.917926,11,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-02-20,February,VIC,-37.723413,145.890821,14,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-12-16,December,WA,-36.026848,143.820983,5,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-04-12,April,WA,-37.400488,144.368173,11,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Sulphur-crested Cockatoo,Cacatua galerita,2022-01-17,January,VIC,-37.068685,144.701956,12,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-09-29,September,WA,-36.032072,145.541087,1,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Eastern Rosella,Platycercus eximius,2022-12-30,December,VIC,-36.499055,145.774561,7,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Superb Fairywren,Malurus cyaneus,2022-11-21,November,NSW,-37.23893,143.601681,7,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Superb Fairywren,Malurus cyaneus,2022-03-22,March,WA,-38.481053,145.420278,16,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-03-15,March,QLD,-36.316427,144.191001,11,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Rainbow Lorikeet,Trichoglossus moluccanus,2022-09-18,September,QLD,-38.428789,143.850525,14,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Rainbow Lorikeet,Trichoglossus moluccanus,2022-08-14,August,SA,-36.775447,144.397287,7,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-04-20,April,VIC,-38.24402,145.231644,1,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-06-14,June,SA,-37.915618,144.8582,20,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-04-13,April,WA,-37.43252,144.319825,7,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-11-26,November,NSW,-36.850306,144.000121,6,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-01-14,January,NSW,-36.178008,144.712532,16,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-01-09,January,VIC,-37.115766,145.273712,5,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-10-21,October,SA,-36.019671,143.880715,15,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Eastern Rosella,Platycercus eximius,2022-11-26,November,QLD,-36.457313,146.106946,6,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-09-06,September,WA,-38.478897,144.09984,16,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-01-07,January,WA,-36.518271,143.504499,19,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-09-07,September,SA,-36.147497,145.887559,10,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-07-14,July,WA,-37.2855,145.810833,10,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Superb Fairywren,Malurus cyaneus,2022-07-01,July,VIC,-38.11982,144.610353,6,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Rainbow Lorikeet,Trichoglossus moluccanus,2022-07-12,July,WA,-37.725229,146.460008,9,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-05-15,May,VIC,-37.204956,142.917991,6,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Superb Fairywren,Malurus cyaneus,2022-09-04,September,QLD,-35.801309,146.389021,17,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-06-13,June,VIC,-36.855792,144.785431,13,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Australian Magpie,Gymnorhina tibicen,2022-05-14,May,QLD,-37.984153,145.68055,11,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Superb Fairywren,Malurus cyaneus,2022-05-05,May,SA,-37.203558,144.164731,13,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-06-11,June,NSW,-35.908099,144.55537,7,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-01-17,January,NSW,-37.62441,145.805262,6,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-11-26,November,QLD,-35.234041,145.206742,10,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-03-02,March,SA,-36.389894,145.387721,3,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-01-23,January,QLD,-34.775993,142.61658,9,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-05-13,May,QLD,-37.14426,144.484258,20,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-05-05,May,NSW,-37.233783,143.907327,15,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Australian Magpie,Gymnorhina tibicen,2022-02-09,February,VIC,-36.410906,144.690793,16,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-06-12,June,SA,-38.21514,145.349958,13,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Superb Fairywren,Malurus cyaneus,2022-08-16,August,SA,-37.730151,144.927128,12,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Rainbow Lorikeet,Trichoglossus moluccanus,2022-12-25,December,NSW,-35.730836,144.932926,10,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-04-07,April,WA,-35.202096,148.020097,18,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Superb Fairywren,Malurus cyaneus,2022-11-04,November,QLD,-36.938532,143.251475,17,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Eastern Rosella,Platycercus eximius,2022-07-24,July,WA,-37.404912,147.57972,12,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Superb Fairywren,Malurus cyaneus,2022-05-07,May,QLD,-36.920494,145.505026,1,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-12-31,December,SA,-35.537926,146.148054,17,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-08-06,August,NSW,-36.143818,145.556535,6,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Eastern Rosella,Platycercus eximius,2022-06-30,June,VIC,-36.669801,143.863261,1,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-01-26,January,VIC,-37.767504,145.041175,20,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-02-10,February,QLD,-37.970955,144.074886,7,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Australian Magpie,Gymnorhina tibicen,2022-05-29,May,VIC,-38.391246,145.326033,1,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-05-09,May,QLD,-36.667398,145.186035,8,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Superb Fairywren,Malurus cyaneus,2022-09-24,September,VIC,-37.255105,145.211541,12,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-10-20,October,SA,-37.114717,146.045334,1,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-09-13,September,QLD,-34.808911,145.472316,15,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Sulphur-crested Cockatoo,Cacatua galerita,2022-10-19,October,NSW,-35.722216,144.922937,2,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-06-29,June,WA,-36.707399,145.78065,14,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-09-16,September,NSW,-36.922329,145.892122,17,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-10-07,October,WA,-36.440872,144.819546,4,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-08-15,August,QLD,-37.639667,146.61584,11,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-04-20,April,WA,-37.840269,145.641648,17,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-07-15,July,QLD,-38.544223,144.894869,12,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-05-19,May,VIC,-37.746095,143.780767,3,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Rainbow Lorikeet,Trichoglossus moluccanus,2022-05-03,May,QLD,-37.340141,145.21372,15,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-11-06,November,NSW,-36.08596,145.440276,12,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Superb Fairywren,Malurus cyaneus,2022-12-07,December,QLD,-37.364908,145.781481,2,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-02-13,February,VIC,-35.80031,143.213927,11,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-06-25,June,VIC,-36.796104,144.896393,15,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Australian Magpie,Gymnorhina tibicen,2022-11-25,November,VIC,-34.671316,144.383136,15,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-06-28,June,NSW,-37.181513,143.176009,8,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-11-19,November,WA,-37.211348,144.426356,15,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-07-20,July,QLD,-37.26568,143.700416,17,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-10-16,October,QLD,-36.762393,145.21405,13,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-06-30,June,NSW,-36.472561,144.751724,4,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-04-27,April,VIC,-36.716185,144.872467,4,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-01-31,January,NSW,-37.099307,144.412469,4,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-12-24,December,SA,-37.212486,144.688461,11,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-07-14,July,SA,-37.805184,147.002255,3,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Eastern Rosella,Platycercus eximius,2022-09-21,September,SA,-36.615946,143.80316,19,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-12-19,December,VIC,-34.490622,145.016165,14,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Rainbow Lorikeet,Trichoglossus moluccanus,2022-04-10,April,NSW,-37.331474,144.960815,12,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-03-02,March,SA,-38.767529,142.851504,3,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-07-02,July,WA,-37.974057,144.160944,9,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-12-07,December,WA,-37.12416,145.117857,5,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-03-24,March,SA,-37.499069,145.432251,1,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Australian Magpie,Gymnorhina tibicen,2022-12-19,December,WA,-37.325946,143.925106,2,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-07-23,July,QLD,-38.479346,145.79763,4,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Superb Fairywren,Malurus cyaneus,2022-07-17,July,SA,-36.717643,145.181933,10,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Rainbow Lorikeet,Trichoglossus moluccanus,2022-04-02,April,WA,-36.772138,144.896396,7,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2023-01-01,January,SA,-38.993767,143.645699,14,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-12-07,December,WA,-36.976337,145.363708,20,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-05-29,May,NSW,-36.745814,144.073283,4,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-04-01,April,QLD,-37.433793,144.903096,14,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-08-15,August,WA,-36.148808,145.963412,11,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
